Produto,Variação 1,Variação 2,Preço,SKU,Estampa,Material,Tamanho/Medidas,Título,Descrição,Link da Imagem
Caneca,Personalizada,Caneca Branca 325ml," R$  39,90 ",01.P00120,Futebol,Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00120/Futebol (2).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",01.P00123,Administador(a) de Empresas,Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00123/Administração (3).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",01.P00125,Agronomia,Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00125/Agronomia (3).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",01.P00126,Arquiteto(a),Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00126/Arquitetura (2).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",01.P00135,Enfermeiro(a),Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00135/Enfermagem (1).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",01.P00136,Engenheiro(a),Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00136/Eng Cívil (1).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",01.P00143,Medico(a),Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00143/Medicina (2).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",01.P00144,Nutricionista,Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00144/Nutrição (3).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",01.P00149,Psicologo(a),Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00149/Psicologia (2).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",01.P00153,Veterinario(a),Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00153/Veterinária (1).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",01.P00154,Administador(a) de Empresas,Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00154/Administrador 01 (1).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",01.P00155,Advogado,Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00155/Advogada (1).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",01.P00161,Contador(a),Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00161/Contador (4).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",01.P00162,Dentista,Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00162/Dentista Fem 01 (1).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",01.P00169,Farmaceutico(a),Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00169/Farmaceutico (2).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",01.P00174,Medico(a),Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00174/Médico 01 (1).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",01.P00175,Nutricionista,Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00175/Nutricionista (1).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",01.P00178,Professor(a),Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00178/Professora 01 (1).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",01.P00180,Psicologo(a),Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00180/Psicologa (4).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",01.P00183,Tecnico(a) em Enfermagem,Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00183/Tec Enfermagem 01 (3).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",01.P00185,Administador(a) de Empresas,Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00185/Administração (4).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",01.P00186,Advogado,Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00186/Direito (1).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",01.P00192,Contador(a),Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00192/Contabilidade (2).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",01.P00193,Dentista,Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00193/Odontologia (1).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",01.P00196,Educacao Fisica,Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00196/Educação Física (3).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",01.P00206,Medico(a),Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00206/Nutrição (4).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",01.P00210,Professor(a),Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00210/Sistema de Informação (1).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",01.P00212,Psicologo(a),Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00212/Serviço Social (1).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",01.P00216,Veterinario(a),Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00216/12 - Caneca Jiu Jitso Com Caricatura E Nome Alça Colorida Preta 3.jpg?raw=true
Caneca,Personalizada,Caneca Branca Alca Preta 325ml," R$  44,90 ",01.P00217,Jiu Jitsu,Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00217/C (1).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  39,90 ",01.P00218,Engenheiro(a),Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00218/C (14).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  39,90 ",01.P00220,Guitarrista,Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00220/A (3).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  39,90 ",01.P00221,Natacao,Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00221/B (4).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  39,90 ",01.P00222,Corretora de Imoveis,Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00222/C (5).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  39,90 ",01.P00223,Super Mae,Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00223/A (7).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  39,90 ",01.P00224,Advogados,Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00224/B (8).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  39,90 ",01.P00226,Professor(a),Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00226/A (10).jpg?raw=true
Caneca,Personalizada,Caneca Branca 100ml," R$  36,90 ",01.P00474,Professor(a),Porcelana,100ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00474/Caneca 100ml 2 (1) 001 1.jpg?raw=true
Caneca,Personalizada,Caneca Branca 100ml," R$  42,90 ",01.P00475,Personalizacoes Diversas,Porcelana,100ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00475/Caneca 100ml 2 (1) 003 3.jpg?raw=true
Caneca,Personalizada,Caneca Branca 100ml," R$  36,90 ",01.P00476,Personalizacoes Diversas,Porcelana,100ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00476/Caneca 100ml 2 (1) 004 2.jpg?raw=true
Caneca,Personalizada,Caneca Branca 100ml," R$  36,90 ",01.P00477,Personalizacoes Diversas,Porcelana,100ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00477/Caneca 100ml 2 (1) 002 1.jpg?raw=true
Caneca,Personalizada,Caneca de Chopp Aluminio 600ml," R$  39,90 ",01.P00481,Personalizacoes Diversas,Aluminio,600ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00481/WhatsApp Image 2024-09-09 at 15.39.10.jpeg?raw=true
Caneca,Personalizada,Caneca de Chopp Aluminio 600ml," R$  39,90 ",01.P00482,Personalizacoes Diversas,Aluminio,600ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00482/Aluminio Chopp 01 2.png?raw=true
Caneca,Personalizada,Caneca Preta 325ml," R$  49,90 ",01.P00484,Com Logo,Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00484/Caneca preta logo.png?raw=true
Caneca,Personalizada,Caneca Preta 325ml," R$  49,90 ",01.P00485,Com Caricatura e Nome,Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00485/Caneca Preta 05 1.png?raw=true
Caneca,Personalizada,Caneca Preta 325ml," R$  49,90 ",01.P00486,Com Caricatura e Logo,Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00486/Caneca Preta 04.png?raw=true
Caneca,Personalizada,Caneca Preta 325ml," R$  49,90 ",01.P00487,Personalizacoes Diversas,Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00487/Caneca Preta 05 1.png?raw=true
